timestamp,scan,angle,raw_distance
2026-09-11 16:40:13,3,45,163.64
2026-09-11 16:40:13,3,50,167.53
2026-09-11 16:40:13,3,55,204.55
2026-09-11 16:40:13,3,60,283.6
2026-09-11 16:40:13,3,65,228.43
2026-09-11 16:40:13,3,70,93.19
2026-09-11 16:40:13,3,75,93.96
2026-09-11 16:40:13,3,80,91.36
2026-09-11 16:40:13,3,85,194.32
2026-09-11 16:40:13,3,90,152.65
2026-09-11 16:40:13,3,95,272.12
2026-09-11 16:40:13,3,100,291.46
2026-09-11 16:40:13,3,105,230.02
2026-09-11 16:40:13,3,110,188.45
2026-09-11 16:40:13,3,115,40.74
2026-09-11 16:40:13,3,120,44.76
2026-09-11 16:40:13,3,125,42.35
2026-09-11 16:40:13,3,130,191.89
2026-09-11 16:40:13,3,135,228.48
2026-09-11 16:40:13,3,140,0.0
2026-09-11 16:40:13,3,145,240.39
2026-09-11 16:40:13,3,150,69.04
2026-09-11 16:40:13,3,155,70.31
2026-09-11 16:40:13,3,160,72.62
2026-09-11 16:40:13,3,165,163.67
2026-09-11 16:40:13,3,170,157.94
2026-09-11 16:40:13,3,175,269.15
2026-09-11 16:40:13,3,180,285.63
2026-09-11 16:40:13,4,0,176.2
2026-09-11 16:40:13,4,5,187.64
2026-09-11 16:40:13,4,10,236.14
2026-09-11 16:40:13,4,15,212.76
2026-09-11 16:40:13,4,20,253.73
2026-09-11 16:40:13,4,25,62.67
2026-09-11 16:40:13,4,30,53.42
2026-09-11 16:40:13,4,35,54.24
2026-09-11 16:40:13,4,40,226.6
2026-09-11 16:40:13,4,45,197.71
2026-09-11 16:40:13,4,50,163.14
2026-09-11 16:40:13,4,55,245.73
2026-09-11 16:40:13,4,60,288.51
2026-09-11 16:40:13,4,65,243.2
2026-09-11 16:40:13,4,70,88.48
2026-09-11 16:40:13,4,75,450.0
2026-09-11 16:40:13,4,80,89.82
2026-09-11 16:40:13,4,85,265.36
2026-09-11 16:40:13,4,90,217.96
2026-09-11 16:40:13,4,95,290.64
2026-09-11 16:40:13,4,100,255.45
2026-09-11 16:40:13,4,105,268.5
2026-09-11 16:40:13,4,110,237.16
2026-09-11 16:40:13,4,115,52.44
2026-09-11 16:40:13,4,120,49.93
2026-09-11 16:40:13,4,125,36.91
2026-09-11 16:40:13,4,130,187.51
2026-09-11 16:40:13,4,135,248.63
2026-09-11 16:40:13,4,140,184.81
2026-09-11 16:40:13,4,145,244.4
2026-09-11 16:40:13,4,150,73.86
2026-09-11 16:40:13,4,155,77.94
2026-09-11 16:40:13,4,160,66.06
2026-09-11 16:40:13,4,165,237.31
2026-09-11 16:40:13,4,170,254.46
2026-09-11 16:40:13,4,175,282.25
2026-09-11 16:40:13,4,180,162.51
2026-09-11 16:40:13,5,0,450.0
2026-09-11 16:40:13,5,5,213.83
2026-09-11 16:40:13,5,10,234.12
2026-09-11 16:40:13,5,15,163.13
2026-09-11 16:40:13,5,20,174.49
2026-09-11 16:40:13,5,25,50.15
2026-09-11 16:40:13,5,30,61.53
2026-09-11 16:40:13,5,35,63.13
2026-09-11 16:40:13,5,40,271.95
2026-09-11 16:40:13,5,45,271.45
2026-09-11 16:40:13,5,50,263.97
2026-09-11 16:40:13,5,55,281.16
2026-09-11 16:40:13,5,60,148.76
2026-09-11 16:40:13,5,65,292.1
2026-09-11 16:40:13,5,70,83.79
2026-09-11 16:40:13,5,75,87.77
2026-09-11 16:40:13,5,80,87.04
2026-09-11 16:40:13,5,85,188.94
2026-09-11 16:40:13,5,90,275.87
2026-09-11 16:40:13,5,95,268.39
2026-09-11 16:40:13,5,100,238.93
2026-09-11 16:40:13,5,105,238.71
2026-09-11 16:40:13,5,110,198.18
2026-09-11 16:40:13,5,115,46.86
2026-09-11 16:40:13,5,120,54.67
2026-09-11 16:40:13,5,125,47.54
2026-09-11 16:40:13,5,130,271.65
2026-09-11 16:40:13,5,135,165.77
2026-09-11 16:40:13,5,140,270.52
2026-09-11 16:40:13,5,145,165.26
2026-09-11 16:40:13,5,150,69.75
2026-09-11 16:40:13,5,155,70.44
2026-09-11 16:40:13,5,160,68.59
2026-09-11 16:40:13,5,165,242.95
2026-09-11 16:40:13,5,170,181.8
2026-09-11 16:40:13,5,175,286.98
2026-09-11 16:40:13,5,180,258.99
2026-09-11 16:40:13,6,0,177.78
2026-09-11 16:40:13,6,5,231.53
2026-09-11 16:40:13,6,10,206.28
2026-09-11 16:40:13,6,15,205.09
2026-09-11 16:40:13,6,20,221.74
2026-09-11 16:40:13,6,25,52.23
2026-09-11 16:40:13,6,30,54.98
2026-09-11 16:40:13,6,35,55.27
2026-09-11 16:40:13,6,40,259.04
2026-09-11 16:40:13,6,45,202.45
2026-09-11 16:40:13,6,50,251.36
2026-09-11 16:40:13,6,55,204.93
2026-09-11 16:40:13,6,60,201.22
2026-09-11 16:40:13,6,65,156.65
2026-09-11 16:40:13,6,70,84.26
2026-09-11 16:40:13,6,75,94.82
2026-09-11 16:40:13,6,80,83.01
2026-09-11 16:40:13,6,85,268.33
2026-09-11 16:40:13,6,90,210.39
2026-09-11 16:40:13,6,95,220.52
2026-09-11 16:40:13,6,100,229.19
2026-09-11 16:40:13,6,105,450.0
2026-09-11 16:40:13,6,110,191.56
2026-09-11 16:40:13,6,115,47.22
2026-09-11 16:40:13,6,120,37.92
2026-09-11 16:40:13,6,125,45.22
2026-09-11 16:40:13,6,130,177.56
2026-09-11 16:40:13,6,135,235.01
2026-09-11 16:40:13,6,140,171.48
2026-09-11 16:40:13,6,145,275.64
2026-09-11 16:40:13,6,150,0.0
2026-09-11 16:40:13,6,155,78.72
2026-09-11 16:40:13,6,160,65.58
2026-09-11 16:40:13,6,165,240.3
2026-09-11 16:40:13,6,170,289.75
2026-09-11 16:40:13,6,175,258.69
2026-09-11 16:40:13,6,180,207.83
2026-09-11 16:40:13,7,0,276.35
2026-09-11 16:40:13,7,5,214.94
2026-09-11 16:40:13,7,10,269.63
2026-09-11 16:40:13,7,15,203.47
2026-09-11 16:40:13,7,20,240.12
2026-09-11 16:40:13,7,25,51.7
2026-09-11 16:40:13,7,30,51.04
2026-09-11 16:40:13,7,35,51.49
2026-09-11 16:40:13,7,40,289.08
2026-09-11 16:40:13,7,45,298.36
2026-09-11 16:40:13,7,50,249.14
2026-09-11 16:40:13,7,55,234.42
2026-09-11 16:40:13,7,60,241.37
2026-09-11 16:40:13,7,65,0.0
2026-09-11 16:40:13,7,70,95.34
2026-09-11 16:40:13,7,75,91.45
2026-09-11 16:40:13,7,80,93.39
2026-09-11 16:40:13,7,85,277.25
2026-09-11 16:40:13,7,90,243.66
2026-09-11 16:40:13,7,95,289.21
2026-09-11 16:40:13,7,100,250.24
2026-09-11 16:40:13,7,105,250.74
2026-09-11 16:40:13,7,110,276.5
2026-09-11 16:40:13,7,115,47.91
2026-09-11 16:40:13,7,120,44.66
2026-09-11 16:40:13,7,125,44.2
2026-09-11 16:40:13,7,130,167.02
2026-09-11 16:40:13,7,135,164.24
2026-09-11 16:40:13,7,140,450.0
2026-09-11 16:40:13,7,145,203.3
2026-09-11 16:40:13,7,150,71.48
2026-09-11 16:40:13,7,155,76.66
2026-09-11 16:40:13,7,160,68.68
2026-09-11 16:40:13,7,165,264.05
2026-09-11 16:40:13,7,170,275.73
2026-09-11 16:40:13,7,175,230.56
2026-09-11 16:40:13,7,180,290.34
2026-09-11 16:40:13,8,0,250.71
2026-09-11 16:40:13,8,5,275.65
2026-09-11 16:40:13,8,10,232.99
2026-09-11 16:40:13,8,15,262.94
2026-09-11 16:40:13,8,20,215.27
2026-09-11 16:40:13,8,25,55.25
2026-09-11 16:40:13,8,30,47.18
2026-09-11 16:40:13,8,35,52.11
2026-09-11 16:40:13,8,40,187.07
2026-09-11 16:40:13,8,45,190.49
2026-09-11 16:40:13,8,50,163.85
2026-09-11 16:40:13,8,55,163.48
2026-09-11 16:40:13,8,60,176.3
2026-09-11 16:40:13,8,65,189.99
2026-09-11 16:40:13,8,70,89.05
2026-09-11 16:40:13,8,75,89.65
2026-09-11 16:40:13,8,80,89.38
2026-09-11 16:40:13,8,85,267.09
2026-09-11 16:40:13,8,90,265.0
2026-09-11 16:40:13,8,95,201.52
2026-09-11 16:40:13,8,100,209.05
2026-09-11 16:40:13,8,105,254.91
2026-09-11 16:40:13,8,110,219.95
2026-09-11 16:40:13,8,115,49.13
2026-09-11 16:40:13,8,120,36.25
2026-09-11 16:40:13,8,125,49.75
2026-09-11 16:40:13,8,130,278.3
2026-09-11 16:40:13,8,135,246.49
2026-09-11 16:40:13,8,140,270.78
2026-09-11 16:40:13,8,145,174.38
2026-09-11 16:40:13,8,150,66.7
2026-09-11 16:40:13,8,155,74.6
2026-09-11 16:40:13,8,160,73.6
2026-09-11 16:40:13,8,165,156.47
2026-09-11 16:40:13,8,170,248.63
2026-09-11 16:40:13,8,175,278.31
2026-09-11 16:40:13,8,180,275.91
2026-09-11 16:40:13,9,0,153.87
2026-09-11 16:40:13,9,5,190.78
2026-09-11 16:40:13,9,10,154.09
2026-09-11 16:40:13,9,15,227.08
2026-09-11 16:40:13,9,20,169.65
2026-09-11 16:40:13,9,25,48.71
2026-09-11 16:40:13,9,30,54.23
2026-09-11 16:40:13,9,35,55.45
2026-09-11 16:40:13,9,40,239.92
2026-09-11 16:40:13,9,45,212.29
2026-09-11 16:40:13,9,50,277.6
2026-09-11 16:40:13,9,55,224.27
2026-09-11 16:40:13,9,60,225.41
2026-09-11 16:40:13,9,65,207.36
2026-09-11 16:40:13,9,70,89.19
2026-09-11 16:40:13,9,75,450.0
2026-09-11 16:40:13,9,80,89.88
2026-09-11 16:40:13,9,85,227.17
2026-09-11 16:40:13,9,90,189.06
2026-09-11 16:40:13,9,95,199.62
2026-09-11 16:40:13,9,100,215.51
2026-09-11 16:40:13,9,105,196.48
2026-09-11 16:40:13,9,110,213.85
2026-09-11 16:40:13,9,115,49.3
2026-09-11 16:40:13,9,120,52.35
2026-09-11 16:40:13,9,125,47.56
2026-09-11 16:40:13,9,130,215.61
2026-09-11 16:40:13,9,135,182.74
2026-09-11 16:40:13,9,140,196.65
2026-09-11 16:40:13,9,145,230.21
2026-09-11 16:40:13,9,150,73.5
2026-09-11 16:40:13,9,155,72.68
2026-09-11 16:40:13,9,160,64.03
2026-09-11 16:40:13,9,165,166.89
2026-09-11 16:40:13,9,170,193.18
2026-09-11 16:40:13,9,175,289.17
2026-09-11 16:40:13,9,180,283.37
2026-09-11 16:40:13,10,0,179.39
2026-09-11 16:40:13,10,5,255.86
2026-09-11 16:40:13,10,10,222.78
2026-09-11 16:40:13,10,15,238.6
2026-09-11 16:40:13,10,20,181.08
2026-09-11 16:40:13,10,25,58.66
2026-09-11 16:40:13,10,30,60.02
2026-09-11 16:40:13,10,35,48.42
2026-09-11 16:40:13,10,40,166.2
2026-09-11 16:40:13,10,45,181.14
2026-09-11 16:40:13,10,50,450.0
2026-09-11 16:40:13,10,55,239.76
2026-09-11 16:40:13,10,60,282.83
2026-09-11 16:40:13,10,65,239.27
2026-09-11 16:40:13,10,70,89.76
2026-09-11 16:40:13,10,75,90.73
2026-09-11 16:40:13,10,80,83.96
2026-09-11 16:40:13,10,85,173.51
2026-09-11 16:40:13,10,90,229.78
2026-09-11 16:40:13,10,95,166.62
2026-09-11 16:40:13,10,100,210.91
2026-09-11 16:40:13,10,105,271.83
2026-09-11 16:40:13,10,110,214.07
2026-09-11 16:40:13,10,115,42.39
2026-09-11 16:40:13,10,120,48.74
2026-09-11 16:40:13,10,125,50.7
2026-09-11 16:40:13,10,130,268.08
2026-09-11 16:40:13,10,135,241.29
2026-09-11 16:40:13,10,140,171.8
2026-09-11 16:40:13,10,145,226.71
2026-09-11 16:40:13,10,150,69.1
2026-09-11 16:40:13,10,155,73.5
2026-09-11 16:40:13,10,160,68.44
2026-09-11 16:40:13,10,165,153.56
2026-09-11 16:40:13,10,170,226.32
2026-09-11 16:40:13,10,175,281.8
2026-09-11 16:40:13,10,180,175.84
